Window,SL Multiplier,Either Candle,Same Candle,Two Lots One Candle,Either Candle - Diff,Either Candle - % Change,Two Lots One Candle - Diff,Two Lots One Candle - % Change,Metric
3,3.0,155.73000000000593,177.02000000001226,172.68000000001257,-21.29000000000633,-12.026889616995174,-4.339999999999691,-2.4517003728388826,Max Drawdown
3,3.25,157.81500000001142,188.762500000013,183.87750000001324,-30.947500000001583,-16.394940732401537,-4.8849999999997635,-2.5879080855569443,Max Drawdown
3,3.5,160.8000000000102,159.44500000000744,156.9550000000081,1.3550000000027467,0.8498228229186764,-2.489999999999327,-1.5616670325185555,Max Drawdown
3,3.75,163.78500000000804,163.99750000000677,161.17250000000786,-0.2124999999987267,-0.12957514596180914,-2.8249999999989086,-1.722587234560766,Max Drawdown
3,4.0,166.77000000000953,159.10000000000582,155.94000000000733,7.670000000003711,4.82086737900907,-3.1599999999984902,-1.9861722187293367,Max Drawdown
4,1.0,216.86000000000195,152.8699999999999,143.96000000000004,63.990000000002055,41.859095963892266,-8.909999999999854,-5.828481716491045,Max Drawdown
4,1.5,224.0450000000028,166.89499999999953,157.79999999999973,57.150000000003274,34.24308697085199,-9.0949999999998,-5.449534138230519,Max Drawdown
4,2.0,233.92000000000095,175.01999999999953,165.73999999999978,58.90000000000143,33.653296766084786,-9.279999999999745,-5.302251171294578,Max Drawdown
4,2.5,239.6899999999996,183.14499999999816,173.67999999999938,56.54500000000144,30.874443746759127,-9.464999999998781,-5.168036255425415,Max Drawdown
4,2.75,242.57500000000027,193.10249999999724,183.5449999999978,49.47250000000304,25.619813311585165,-9.557499999999436,-4.949443948162024,Max Drawdown
4,3.0,245.4600000000005,195.88999999999717,186.2399999999975,49.57000000000332,25.3050181224177,-9.649999999999665,-4.926234110980552,Max Drawdown
4,3.25,250.7100000000023,198.6774999999966,188.9349999999968,52.03250000000571,26.189427589941793,-9.742499999999808,-4.903675554604812,Max Drawdown
4,3.5,264.83500000000095,196.70499999999677,186.8699999999972,68.13000000000417,34.6356218703161,-9.834999999999582,-4.999872906128336,Max Drawdown
4,3.75,267.0425,199.15249999999605,189.2249999999972,67.89000000000397,34.08945406158864,-9.927499999998844,-4.9848734010364115,Max Drawdown
4,4.0,269.25,201.59999999999627,191.57999999999677,67.65000000000373,33.556547619050086,-10.019999999999499,-4.970238095237939,Max Drawdown
5,1.0,123.16999999999962,117.57999999999856,106.35999999999648,5.590000000001055,4.754209899643752,-11.220000000002088,-9.542439190340385,Max Drawdown
5,1.5,128.99999999999727,137.97499999999627,106.08999999999467,-8.974999999999,-6.504801594491207,-31.885000000001597,-23.109258923719846,Max Drawdown
5,2.0,136.75999999999567,145.42999999999665,125.36000000000512,-8.670000000000982,-5.961631025236321,-20.069999999991538,-13.800453826577735,Max Drawdown
5,2.5,157.93999999999642,145.66500000000497,144.32500000000618,12.27499999999145,8.426869872646849,-1.3399999999987813,-0.9199189922072809,Max Drawdown
5,2.75,164.67749999999387,154.35000000000582,152.65000000000646,10.32749999998805,6.690962099117368,-1.6999999999993634,-1.101392938127178,Max Drawdown
5,3.0,172.0299999999961,159.90000000000555,157.8400000000056,12.12999999999056,7.585991244521663,-2.0599999999999454,-1.2883051907441363,Max Drawdown
5,3.25,178.03749999999718,169.1350000000043,166.7150000000056,8.90249999999287,5.263546870838468,-2.4199999999987085,-1.4308097082204434,Max Drawdown
5,3.5,182.22499999999627,177.69500000000335,173.68000000000393,4.529999999992924,2.5493120234068707,-4.014999999999418,-2.259489574832912,Max Drawdown
5,3.75,189.389999999994,182.807500000004,179.07000000000562,6.582499999989977,3.600782243611358,-3.7374999999983913,-2.0445003624021494,Max Drawdown
5,4.0,189.46999999999525,187.92000000000417,189.92000000000417,1.549999999991087,0.8248190719407476,2.0,1.0642826734780522,Max Drawdown
6,1.0,166.25000000000136,157.7500000000009,145.85999999999785,8.500000000000455,5.388272583201525,-11.890000000003056,-7.537242472268138,Max Drawdown
6,1.5,179.60500000000548,156.3300000000031,145.9300000000003,23.275000000002365,14.888377150899956,-10.40000000000282,-6.652593871939239,Max Drawdown
6,2.0,194.52000000000496,172.19000000000096,161.78999999999905,22.33000000000399,12.968232766132685,-10.40000000000191,-6.039839711947181,Max Drawdown
6,2.5,201.92000000000644,173.28000000000156,164.20499999999856,28.640000000004875,16.52816251154468,-9.075000000003001,-5.2371883656526546,Max Drawdown
6,2.75,204.89500000000496,176.73000000000138,167.90749999999937,28.165000000003573,15.936739659369294,-8.822500000002009,-4.992078311549788,Max Drawdown
6,3.0,208.76000000000656,185.48000000000184,174.83999999999878,23.28000000000472,12.551218460213764,-10.640000000003056,-5.736467543672067,Max Drawdown
6,3.25,214.96250000000876,192.54000000000224,182.14499999999956,22.422500000006522,11.645632076454898,-10.395000000002682,-5.398878155189863,Max Drawdown
6,3.5,218.4750000000072,194.7550000000033,190.32000000000156,23.72000000000392,12.179404893329322,-4.435000000001736,-2.2772200970458583,Max Drawdown
6,3.75,224.5750000000071,196.57000000000107,192.8400000000006,28.00500000000602,14.246833189197675,-3.730000000000473,-1.8975428600500852,Max Drawdown
6,4.0,226.79000000000903,199.50999999999885,195.4600000000005,27.280000000010176,13.673500075189379,-4.049999999998363,-2.0299734349147345,Max Drawdown
7,1.0,186.48999999999023,171.1699999999919,171.00999999999112,15.319999999998345,8.950166501138677,-0.16000000000076398,-0.09347432377213971,Max Drawdown
7,1.5,197.54499999999237,192.1049999999941,183.91499999999223,5.439999999998264,2.831784701074116,-8.190000000001874,-4.263293511362081,Max Drawdown
7,2.0,204.01999999998907,182.47999999999,171.46999999998934,21.539999999999054,11.804033318719988,-11.010000000000673,-6.03353792196475,Max Drawdown
